Title,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
Bonoo Indian Tapas Hampstead ,"675 Finchley Road, London NW2 2JP England","2,843",#1,+44 20 7794 8899,$$ - $$$,"[' Indian', ' Grill', ' Healthy']",5:30 PM - 10:30 PM
Devine Restaurant Coffee Bar,"19 Vine Street, London EC3N 2PX England",667,#2,+44 20 7488 9929,$,"[' Cafe', ' European', ' British']",7:00 AM - 2:00 PM
Sitara,"784 Holloway Road Archway, London N19 3JH England","1,082",#3,0044 7281 0649,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",5:30 PM - 11:00 PM
Rudy's Pizza Napoletana - Tottenham Court Road,"53-54 Tottenham Court Road, London W1T 2EQ England",293,#4,+44 161 820 8292,$$ - $$$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 9:00 PM
La Roche,"39-40 St Martin's Ln, London WC2N 4ER England",522,"#5,815",+44 20 7240 8076,$$ - $$$,"[' European', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
Scarlett Green,"4 Noel Street Soho, London W1F 8GB England","3,893",#8,+44 20 3653 2010,$$ - $$$,"[' Fusion', ' Healthy', ' Australian']",8:00 AM - 11:00 PM
Bayleaf Restaurant,"1282-1284 High Rd Whetstone, London N20 9HH England","1,341",#9,+44 20 8446 8671,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 1:30 PM
Alexander The Great,"8 Plender Street, London NW1 0JT England","3,482",#10,+44 20 7388 1111,$$ - $$$,"[' International', ' Mediterranean', ' Greek']",12:30 PM - 11:00 PM
The Spice Indian Restaurant,"161 Fortess Road, London NW5 2HR England",521,#13,+44 20 7482 2700,$$ - $$$,"[' Indian', ' Asian', ' Balti']",6:00 PM - 10:30 PM
Amrutha - Earlsfield,"326 Garratt Lane Earlsfield, London SW18 4EJ England",868,#14,+44 20 8001 4628,$$ - $$$,"[' Indian', ' Asian', ' Healthy']",6:00 PM - 10:00 PM
Andy's Greek Taverna,"23 Pratt Street Camden, London NW1 0BG England","2,561",#16,+44 20 7485 9718,$$ - $$$,"[' Mediterranean', ' European', ' Greek']",12:00 PM - 10:30 PM
German Doner Kebab,"111 High Street North North London, East Ham E6 1HZ England",453,#1,+44 20 8472 0001,$,"[' Quick Bites', ' German', ' European']",11:00 AM - 12:00 AM
Rudy's Pizza Napoletana - Shoreditch,"Montacute Yards 183-184 Shoreditch High Street, London E1 6HU England",148,#19,+44 20 7033 0483,$$ - $$$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 10:30 PM
Benihana Covent Garden,"31 Maiden Ln Covent Garden, London WC2E 7JS England",79,"#2,996",+44 20 7494 2525,$$ - $$$,"[' Japanese', ' Steakhouse', ' Asian']",12:00 PM - 3:00 PM
Chop Chop,"Cranbourn Street The Hippodrome Casino, London WC2H 7JH England",299,#18,+44 20 7769 8888,$$ - $$$,"[' Chinese', ' Asian', ' Vegetarian Friendly']",6:00 PM - 4:00 AM
RiCE Persian Kitchen,"293 Chiswick High Road, London W4 4HH England",300,#20,+44 20 8994 1661,$$ - $$$,"[' Middle Eastern', ' Persian', ' Vegetarian Friendly']",11:00 AM - 11:00 PM
Tower Tandoori Restaurant,"74-76 Tower Bridge Road, London SE1 4TP England","2,305",#21,+44 20 7237 2247,$$ - $$$,"[' Indian', ' Asian', ' Bangladeshi']",12:00 PM - 11:30 PM
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",356,#67,+44 20 3744 5554,$$$$,"[' French', ' European', ' Contemporary']",12:15 PM - 2:00 PM
Nora Cafe,"9 Wentworth Street, London E1 7TB England",411,#24,+44 7810 437108,$,"[' Cafe', ' Vegetarian Friendly', ' Vegan Options']",6:30 AM - 3:00 PM
Turtle Bay Camden,"10 Jamestown Road, London NW1 7BY England",312,#27,+44 20 3026 1710,$$ - $$$,"[' Caribbean', ' Bar', ' Dining bars']",12:00 PM - 11:00 PM
Eastern Eye Balti House,"63A Brick Lane, London E1 6QL England","1,296",#26,+44 20 7247 8643,$$ - $$$,"[' Indian', ' Bangladeshi', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
Lizzie's Cucina - Italian Restaurant,"85 Bramley Road, London N14 4EY England",386,#28,+44 20 8886 5797,$$ - $$$,"[' Italian', ' Seafood', ' Mediterranean']",11:30 AM - 3:30 PM
Arado Restaurant & Bar,"Albany Street Regent's Park, London NW1 3UP England",104,#29,+44 20 7391 3000,$$ - $$$,"[' Mediterranean', ' Spanish', ' Healthy']",12:00 PM - 11:00 PM
The Park Room,"86-90 Park Lane JW Marriott Grosvenor House, London W1K 7TN England","1,161",#35,+44 20 7399 8452,$$$$,"[' International', ' British', ' Vegetarian Friendly']",7:00 AM - 1:30 AM
ITJL Colindale - Barnet Council,"2 Bristol Avenue Inside Barnet Council, Colindale NW9 4EW England",189,#1,+44 20 3441 4587,$$ - $$$,"[' American', ' Cafe', ' British']",7:00 AM - 8:00 PM
The Clink Restaurant,"Jebb Avenue Brixton, London SW2 5XF England","1,177",#32,+44 20 8678 9007,$$ - $$$,"[' European', ' British', ' Contemporary']",12:00 PM - 3:00 PM
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",176,#176,+44 20 7928 7414,$$ - $$$,"[' Steakhouse', ' Barbecue', ' Grill']",5:00 PM - 11:00 PM
Bombay Bicycle Chef (Balham),"88 Balham High Road, London SW12 9AG England",246,#34,+44 20 8772 3222,$$ - $$$,"[' Indian', ' Asian', ' Healthy']",5:30 PM - 11:00 PM
Leicester Square Kitchen,"31-36 Leicester Square, London WC2H 7LH England","2,314",#36,+44 20 7666 0902,$$$$,"[' Mexican', ' Peruvian', ' Healthy']",12:00 PM - 10:00 PM
Bebs Kitchen,"126 Acre Lane, London SW2 5RJ England",127,#37,+44 20 3659 8915,$$ - $$$,"[' Indian', ' Healthy', ' Vegetarian Friendly']",5:00 PM - 10:30 PM
Tajmahal Indian Cuisine ,"339 Gray's Inn Road Kings cross station, London WC1X 8PX England",183,#223,+44 20 7837 6370,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
Golden Chippy,"62 Greenwich High Road, London SE10 8LF England","2,371",#38,11:00 AM - 11:00 PM,$,"[' Seafood', ' British']",11:00 AM - 11:00 PM
The Palm Court,"Piccadilly The Sheraton Grand Park Lane, London W1J 7BX England",400,#41,+44 20 7499 6321,$$$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",9:00 AM - 11:00 AM
Namaaste Highgate,"4 South Grove Highgate Village, London N6 6BS England",64,"#10,103",+44 20 8340 4488,$$ - $$$,"[' Indian', ' Asian', ' Street Food']",12:00 PM - 10:00 PM
Tower Mangal,"55-57 Tower Bridge Road SE1 4TL, London England",312,#43,+44 20 7357 6853,$$ - $$$,"[' Mediterranean', ' Turkish', ' Healthy']",11:00 AM - 12:00 AM
Barrio Brixton,"30 Acre Lane, London SW2 5SG England",252,#4,+44 20 7749 3940,$$ - $$$,"[' Mexican', ' Latin', ' Bar']",4:00 PM - 11:00 PM
Steak And Lobster Warren Street,"6-7 Warren Street Radisson Blu Edwardian Grafton Hotel, London W1T 5LB England","2,480",#44,+44 20 7666 5430,$$ - $$$,"[' Steakhouse', ' Seafood', ' European']",7:00 AM - 10:30 AM
Double J's Cafe,"333 Euston Road, London NW1 3AD England",246,#45,+44 20 7388 1212,$,"[' Cafe', ' European', ' British']",7:00 AM - 3:00 PM
East Street - Fitzrovia,"3-5 Rathbone Place, London W1T 1HJ England","1,332",#47,+44 20 7323 0860,$$ - $$$,"[' Asian', ' Nonya', ' Vegetarian Friendly']",10:30 AM - 12:00 AM
TigerBay Shisha Lounge,"234 Kingsbury Road, London NW9 0BH England",425,#913,+44 7488 880203,$$ - $$$,"[' Bar', ' International', ' Asian']",12:00 PM - 2:00 AM
Bloomsbury Street Kitchen,"9-13 Bloomsbury Street, London WC1B 3QD England",760,#48,+44 20 7666 2044,$$ - $$$,"[' Japanese', ' Mediterranean', ' European']",12:00 PM - 10:00 PM
215 Hackney,"215 Stoke Newington High Street, London N16 0LH England",148,#51,+44 20 7254 5199,$$ - $$$,"[' Cafe', ' Healthy', ' Middle Eastern']",9:00 AM - 5:00 PM
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",356,#67,+44 20 3744 5554,$$$$,"[' French', ' European', ' Contemporary']",12:15 PM - 2:00 PM
Manuel's Restaurant and Bar,"129 Gipsy Hill, London SE19 1QS England",515,#54,+44 20 8670 1843,$$ - $$$,"[' Italian', ' Seafood', ' Mediterranean']",12:00 PM - 9:00 PM
Cacio e Pepe,"160 Halfway Street, Sidcup DA15 8DG England",129,#1,+44 7487 444556,$$ - $$$,"[' Italian', ' Pizza', ' Healthy']",5:00 PM - 10:00 PM
No5 Dining & Lounge,"5 Tottenham Lane, London N8 9DJ England","1,303",#55,+44 20 8341 2112,$$ - $$$,"[' Bar', ' Mediterranean', ' European']",5:00 PM - 1:30 AM
Indian Lounge,"343 Grays Inn Road, London WC1X 8PX England","3,822",#53,+44 20 7837 8398,$$ - $$$,"[' Indian', ' Asian', ' Healthy']",12:00 PM - 12:00 AM
The Rajdoot,"49 Paddington Street Marylebone, London W1U 4HW England","2,549",#56,+44 20 7486 2055,$$ - $$$,"[' Indian', ' Asian', ' Balti']",12:00 PM - 11:00 PM
The MAINE Mayfair,"6 Medici Courtyard At 20 Hanover Square, London W1S 1JY England",154,"#4,458",+44 20 3432 2192,$$ - $$$,"[' American', ' Steakhouse', ' Seafood']",12:00 PM - 1:00 AM
Coqfighter Kings Cross,"3 Caledonian Road, London N1 9Dx England",5,"#14,291","There aren't enough food, service, value or atmosphere ratings for Coqfighter Kings Cross yet. Be one of the first to write a review!",$$ - $$$,[' American'],12:00 PM - 10:00 PM
Devran,"170-172 Stoke Newington Road, London N16 7UY England",449,#61,+44 20 7254 2525,$$ - $$$,"[' Mediterranean', ' Turkish', ' Grill']",12:00 PM - 11:00 PM
Spice Station,"140 Station Road, Chingford, Waltham Forest E4 6AN England",456,#1,+44 20 8524 0883,$$ - $$$,"[' Indian', ' Asian', ' Balti']",5:30 PM - 11:30 PM
The Lounge Cafe,"113 Chalkhill Road Wembley Park, The Welford Centre, London HA9 9FX England",249,#63,+44 7990 506609,$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",9:00 AM - 4:00 PM
Smith & Whistle,"The Park Lane 112 Piccadilly, London W1J 7BX England",424,#64,+44 20 7499 6321,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",12:00 PM - 11:30 PM
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",356,#67,+44 20 3744 5554,$$$$,"[' French', ' European', ' Contemporary']",12:15 PM - 2:00 PM
La Roche,"39-40 St Martin's Ln, London WC2N 4ER England",522,"#5,815",+44 20 7240 8076,$$ - $$$,"[' European', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
The Jasmine by Spice Nouv-Oh!,"331 The Broadway Bexleyheath, London DA6 8DT England",299,#75,+44 20 8616 0880,$$ - $$$,"[' Indian', ' Fusion', ' Healthy']",5:00 PM - 11:00 PM
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",51,"#3,097",+44 20 4542 4565,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:30 PM - 10:00 PM
Wild Thyme,"2B Thorpebank Road, London W12 0PQ England",263,#74,+44 20 8354 9321,$$ - $$$,"[' Cafe', ' European', ' British']",8:00 AM - 3:30 PM
Room 43 Bar & Kitchen,"43 Lavender Hill, London SW11 5QW England",170,#79,+44 20 7924 3360,$$ - $$$,"[' Mediterranean', ' Middle Eastern', ' Persian']",5:00 PM - 11:00 PM
Mallow - Borough Market,"1 Cathedral Street Borough Market, London SE1 9DE England",419,#94,+44 20 7846 8785,$$ - $$$,"[' International', ' British', ' Healthy']",9:00 AM - 11:00 PM
Sky Pod Bar,"1 Sky Garden Walk Sky Garden, London EC3M 8AF England","2,137",#77,+44 333 772 0020,$$ - $$$,"[' Bar', ' British', ' Vegetarian Friendly']",8:00 AM - 12:00 AM
ITJL Restaurants,"10 Charcot Road, Colindale NW9 5HR England",346,#2,+44 20 3952 7517,$,"[' European', ' Healthy', ' Vegetarian Friendly']",7:30 AM - 10:00 PM
Bardo St James's,"4 Suffolk Place, Haymarket, London SW1Y 4HX England",40,"#5,803",+44 20 3828 2487,$$$$,"[' Italian', ' Bar', ' Mediterranean']",5:00 PM - 2:30 AM
Kaalika,"425 Upper Richmond Road West, London SW14 7PJ England",101,#80,+44 20 8789 9004,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",5:00 PM - 10:30 PM
Bella Roma - Italian Restaurant,"13 Lewis Grove, London SE13 6BG England",462,#83,+44 20 8852 5787,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",11:30 AM - 10:30 PM
L'Angolo Bianco,"49 Crawford Street Marylebone, London W1H 1HA England",230,#82,+44 20 7724 5888,$$ - $$$,"[' Italian', ' Cafe', ' European']",8:00 AM - 7:00 PM
Brewhouse & Kitchen - Highbury,"2A Corsica Street, London N5 1JJ England",673,#93,+44 20 7226 1026,$$ - $$$,"[' Brew Pub', ' Bar', ' British']",12:00 PM - 11:00 PM
Kazu,"64 Charlotte Street, London W1T 4QD England",67,"#6,353",+44 20 3848 5777,$$ - $$$,"[' Japanese', ' International', ' Sushi']",12:00 PM - 3:00 PM
Bardo St James's,"4 Suffolk Place, Haymarket, London SW1Y 4HX England",40,"#5,803",+44 20 3828 2487,$$$$,"[' Italian', ' Bar', ' Mediterranean']",5:00 PM - 2:30 AM
Namaste@OMNOM,"116N Upper Street Islington Square, London N1 1QP England",219,#78,+44 7305 225501,$$ - $$$,"[' Street Food', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 2:00 PM
Govinda's Vegan & Vegetarian Restaurant,"10 Soho Street The restaurant is in biwin Oxford street and soho square., London W1D 3DL England","1,770",#81,+44 20 3687 0617,$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 9:00 PM
Daphne Restaurant,"83 Bayham Street, London NW1 0AG England",335,#85,+44 20 7267 7322,$$ - $$$,"[' Mediterranean', ' Greek', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Oi Vita Pizzeria,"67 Newington Green Road, London N1 4QU England",301,#87,+44 20 3302 8700,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",5:30 PM - 10:30 PM
